2025-08-06 22:24:24 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 200 candles for GBPUSD
2025-08-06 22:24:24 | INFO     | data_service.data_preprocessor:preprocess_data:36 | Preprocessing 200 candles for GBPUSD
2025-08-06 22:24:24 | INFO     | data_service.data_preprocessor:preprocess_data:47 | Preprocessing completed - 200 candles output
2025-08-06 22:24:24 | INFO     | __main__:_test_data_preprocessing:372 |   GBPUSD: 200/200 candles retained, indicators added: True
2025-08-06 22:24:24 | SUCCESS  | __main__:_test_data_preprocessing:381 | Data preprocessing tests completed
2025-08-06 22:24:24 | INFO     | __main__:_test_performance:386 | Testing system performance...
2025-08-06 22:24:24 | INFO     | __main__:_test_performance:391 | Testing data fetching performance...
2025-08-06 22:24:24 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 1000 candles for EURUSD
2025-08-06 22:24:24 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 1000 candles for EURUSD
2025-08-06 22:24:24 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 1000 candles for EURUSD
2025-08-06 22:24:24 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 1000 candles for EURUSD
2025-08-06 22:24:24 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 1000 candles for EURUSD
2025-08-06 22:24:24 | INFO     | __main__:_test_performance:414 | Testing processing performance...
2025-08-06 22:24:24 | INFO     | data_service.data_preprocessor:preprocess_data:36 | Preprocessing 1000 candles for EURUSD
2025-08-06 22:24:24 | INFO     | data_service.data_preprocessor:preprocess_data:47 | Preprocessing completed - 1000 candles output
2025-08-06 22:24:24 | INFO     | data_service.data_preprocessor:preprocess_data:36 | Preprocessing 1000 candles for EURUSD
2025-08-06 22:24:24 | INFO     | data_service.data_preprocessor:preprocess_data:47 | Preprocessing completed - 1000 candles output
2025-08-06 22:24:24 | INFO     | data_service.data_preprocessor:preprocess_data:36 | Preprocessing 1000 candles for EURUSD
2025-08-06 22:24:24 | INFO     | data_service.data_preprocessor:preprocess_data:47 | Preprocessing completed - 1000 candles output
2025-08-06 22:24:24 | SUCCESS  | __main__:_test_performance:453 | Performance tests completed
2025-08-06 22:24:24 | INFO     | __main__:_test_error_handling:458 | Testing error handling...
2025-08-06 22:24:24 | ERROR    | data_service.data_fetcher:ensure_symbol_selected:133 | Failed to select symbol INVALID_SYMBOL
2025-08-06 22:24:24 | WARNING  | data_service.data_fetcher:fetch_data_with_retry:186 | Attempt 1 failed: Failed to select symbol INVALID_SYMBOL
2025-08-06 22:24:25 | ERROR    | data_service.data_fetcher:ensure_symbol_selected:133 | Failed to select symbol INVALID_SYMBOL
2025-08-06 22:24:25 | WARNING  | data_service.data_fetcher:fetch_data_with_retry:186 | Attempt 2 failed: Failed to select symbol INVALID_SYMBOL
2025-08-06 22:24:27 | ERROR    | data_service.data_fetcher:ensure_symbol_selected:133 | Failed to select symbol INVALID_SYMBOL
2025-08-06 22:24:27 | WARNING  | data_service.data_fetcher:fetch_data_with_retry:186 | Attempt 3 failed: Failed to select symbol INVALID_SYMBOL
2025-08-06 22:24:27 | ERROR    | data_service.data_fetcher:fetch_data_with_retry:193 | Failed to fetch data after 3 attempts: Failed to select symbol INVALID_SYMBOL
2025-08-06 22:24:27 | ERROR    | data_service.data_fetcher:get_symbol_data:253 | Error in get_symbol_data for INVALID_SYMBOL: Failed to fetch data after 3 attempts: Failed to select symbol INVALID_SYMBOL
2025-08-06 22:24:27 | WARNING  | data_service.data_fetcher:fetch_data_with_retry:186 | Attempt 1 failed: Invalid timeframe: INVALID_TF
2025-08-06 22:24:28 | WARNING  | data_service.data_fetcher:fetch_data_with_retry:186 | Attempt 2 failed: Invalid timeframe: INVALID_TF
2025-08-06 22:24:30 | WARNING  | data_service.data_fetcher:fetch_data_with_retry:186 | Attempt 3 failed: Invalid timeframe: INVALID_TF
2025-08-06 22:24:30 | ERROR    | data_service.data_fetcher:fetch_data_with_retry:193 | Failed to fetch data after 3 attempts: Invalid timeframe: INVALID_TF
2025-08-06 22:24:30 | ERROR    | data_service.data_fetcher:get_symbol_data:253 | Error in get_symbol_data for EURUSD: Failed to fetch data after 3 attempts: Invalid timeframe: INVALID_TF
2025-08-06 22:24:30 | WARNING  | data_service.data_preprocessor:preprocess_data:30 | Empty DataFrame passed to preprocessor
2025-08-06 22:24:30 | SUCCESS  | __main__:_test_error_handling:505 | Error handling tests completed
2025-08-06 22:24:30 | INFO     | __main__:_generate_day1_report:510 | Generating Day 1 comprehensive report...
2025-08-06 22:24:30 | SUCCESS  | __main__:_generate_day1_report:576 | Day 1 report generated
